Q= 2.39109e-28, q=2.3211e-28, err=3.49941e-30, tol=3.81908e-32, nrec=185
Q= 1.69076e-28, q=1.64127e-28, err=2.47445e-30, tol=2.7005e-32, nrec=186
Q= 1.19555e-28, q=1.16055e-28, err=1.7497e-30, tol=1.90954e-32, nrec=187
Q= 8.45378e-29, q=8.20634e-29, err=1.23723e-30, tol=1.35025e-32, nrec=188
Q= 5.97773e-29, q=5.80276e-29, err=8.74851e-31, tol=9.5477e-33, nrec=189
Q= 4.22689e-29, q=4.10317e-29, err=6.18613e-31, tol=6.75125e-33, nrec=190
Q= 2.98886e-29, q=2.90138e-29, err=4.37426e-31, tol=4.77385e-33, nrec=191
Q= 2.11345e-29, q=2.05158e-29, err=3.09307e-31, tol=3.37562e-33, nrec=192
Q= 1.49443e-29, q=1.45069e-29, err=2.18713e-31, tol=2.38693e-33, nrec=193
Q= 1.05672e-29, q=1.02579e-29, err=1.54653e-31, tol=1.68781e-33, nrec=194
Q= 7.47216e-30, q=7.25345e-30, err=1.09356e-31, tol=1.19346e-33, nrec=195
Q= 5.28361e-30, q=5.12896e-30, err=7.73267e-32, tol=8.43906e-34, nrec=196
Q= 3.73608e-30, q=3.62672e-30, err=5.46782e-32, tol=5.96732e-34, nrec=197
Q= 2.64181e-30, q=2.56448e-30, err=3.86633e-32, tol=4.21953e-34, nrec=198
Q= 1.86804e-30, q=1.81336e-30, err=2.73391e-32, tol=2.98366e-34, nrec=199
Q= 1.3209e-30, q=1.28224e-30, err=1.93317e-32, tol=2.10976e-34, nrec=200
Q= 9.3402e-31, q=9.06681e-31, err=1.36696e-32, tol=1.49183e-34, nrec=201
Q= 6.60452e-31, q=6.4112e-31, err=9.66583e-33, tol=1.05488e-34, nrec=202
Q= 4.6701e-31, q=4.5334e-31, err=6.83478e-33, tol=7.45914e-35, nrec=203
Q= 3.30226e-31, q=3.2056e-31, err=4.83292e-33, tol=5.27441e-35, nrec=204
Q= 2.33505e-31, q=2.2667e-31, err=3.41739e-33, tol=3.72957e-35, nrec=205
Q= 1.65113e-31, q=1.6028e-31, err=2.41646e-33, tol=2.63721e-35, nrec=206
Q= 1.16752e-31, q=1.13335e-31, err=1.70869e-33, tol=1.86479e-35, nrec=207
Q= 8.25565e-32, q=8.014e-32, err=1.20823e-33, tol=1.3186e-35, nrec=208
